month,date,dir,r,result,exit,spike
2025-09,2025-09-25,BUY,0.862,W,CHANDELIER,7.69
2025-10,2025-10-06,SELL,5.475,W,CHANDELIER,3.04
2025-10,2025-10-07,BUY,3.433,W,TIME,3.78
2025-10,2025-10-08,BUY,1.33,W,CHANDELIER,3.17
2025-10,2025-10-24,SELL,1.055,W,CHANDELIER,3.69
2025-10,2025-10-30,SELL,2.054,W,CHANDELIER,3.48
2025-11,2025-11-05,BUY,2.164,W,CHANDELIER,3.26
2025-11,2025-11-12,SELL,-1.0,L,SL,3.07
2025-11,2025-11-25,BUY,-1.0,L,SL,3.1
2025-11,2025-11-28,BUY,-1.0,L,SL,7.03
2025-12,2025-12-19,BUY,1.518,W,CHANDELIER,7.46
2025-12,2025-12-26,BUY,-1.0,L,SL,3.3
2026-01,2026-01-06,BUY,1.04,W,CHANDELIER,3.95
2026-01,2026-01-15,BUY,0.812,W,CHANDELIER,3.05
2026-02,2026-02-26,BUY,0.893,W,CHANDELIER,3.34
2026-03,2026-03-02,SELL,1.056,W,CHANDELIER,3.74
2026-03,2026-03-02,SELL,-1.0,L,SL,4.02
2026-03,2026-03-20,BUY,-1.0,L,SL,3.67
2026-04,2026-04-29,SELL,1.214,W,CHANDELIER,3.38
